6,160,5
1,1,2,2
2,1,2,3
3,1,2,3
4,1,2,2
5,1,2,2
6,1,2,3
1,1,3,10
2,1,3,10
3,1,3,10
4,1,3,11
5,1,3,9
6,1,3,9
1,1,4,13
2,1,4,13
3,1,4,13
4,1,4,13
5,1,4,15
6,1,4,17
1,1,5,9
2,1,5,10
3,1,5,9
4,1,5,10
5,1,5,10
6,1,5,11
1,1,6,2
2,1,6,1
3,1,6,1
4,1,6,2
5,1,6,3
6,1,6,1
1,1,7,7
2,1,7,10
3,1,7,11
4,1,7,14
5,1,7,14
6,1,7,15
1,1,8,9
2,1,8,11
3,1,8,10
4,1,8,8
5,1,8,8
6,1,8,8
1,1,9,10
2,1,9,11
3,1,9,11
4,1,9,11
5,1,9,12
6,1,9,13
1,1,10,8
2,1,10,10
3,1,10,9
4,1,10,9
5,1,10,10
6,1,10,11
1,1,11,5
2,1,11,5
3,1,11,6
4,1,11,5
5,1,11,5
6,1,11,5
1,1,12,5
2,1,12,7
3,1,12,8
4,1,12,8
5,1,12,9
6,1,12,8
1,1,13,12
2,1,13,13
3,1,13,13
4,1,13,13
5,1,13,13
6,1,13,12
1,1,14,3
2,1,14,3
3,1,14,5
4,1,14,4
5,1,14,4
6,1,14,6
1,1,15,12
2,1,15,11
3,1,15,13
4,1,15,12
5,1,15,14
6,1,15,15
1,1,16,11
2,1,16,10
3,1,16,10
4,1,16,12
5,1,16,11
6,1,16,11
1,1,17,16
2,1,17,19
3,1,17,17
4,1,17,17
5,1,17,17
6,1,17,15
1,1,18,9
2,1,18,9
3,1,18,9
4,1,18,10
5,1,18,11
6,1,18,11
1,1,19,12
2,1,19,11
3,1,19,12
4,1,19,13
5,1,19,12
6,1,19,12
1,1,20,11
2,1,20,11
3,1,20,11
4,1,20,13
5,1,20,12
6,1,20,11
1,1,21,13
2,1,21,13
3,1,21,14
4,1,21,14
5,1,21,14
6,1,21,15
1,1,22,8
2,1,22,6
3,1,22,6
4,1,22,7
5,1,22,6
6,1,22,6
1,1,23,7
2,1,23,8
3,1,23,8
4,1,23,8
5,1,23,7
6,1,23,7
1,1,24,9
2,1,24,9
3,1,24,7
4,1,24,7
5,1,24,8
6,1,24,8
1,1,25,6
2,1,25,7
3,1,25,7
4,1,25,8
5,1,25,9
6,1,25,10
1,1,26,3
2,1,26,2
3,1,26,3
4,1,26,2
5,1,26,3
6,1,26,1
