6,160,5
1,1,2,18
2,1,2,16
3,1,2,15
4,1,2,16
5,1,2,18
6,1,2,15
1,1,3,0
2,1,3,1
3,1,3,4
4,1,3,6
5,1,3,5
6,1,3,8
1,1,4,4
2,1,4,5
3,1,4,5
4,1,4,5
5,1,4,3
6,1,4,3
1,1,5,20
2,1,5,19
3,1,5,17
4,1,5,19
5,1,5,17
6,1,5,17
1,1,6,10
2,1,6,9
3,1,6,12
4,1,6,10
5,1,6,9
6,1,6,10
1,1,7,9
2,1,7,7
3,1,7,11
4,1,7,10
5,1,7,9
6,1,7,9
1,1,8,13
2,1,8,11
3,1,8,15
4,1,8,15
5,1,8,13
6,1,8,12
1,1,9,3
2,1,9,5
3,1,9,8
4,1,9,10
5,1,9,13
6,1,9,15
1,1,10,16
2,1,10,14
3,1,10,17
4,1,10,18
5,1,10,18
6,1,10,18
1,1,11,9
2,1,11,9
3,1,11,11
4,1,11,8
5,1,11,5
6,1,11,2
1,1,12,6
2,1,12,4
3,1,12,6
4,1,12,3
5,1,12,0
6,1,12,3
1,1,13,19
2,1,13,17
3,1,13,14
4,1,13,13
5,1,13,15
6,1,13,17
1,1,14,15
2,1,14,19
3,1,14,17
4,1,14,19
5,1,14,16
6,1,14,20
1,1,15,18
2,1,15,20
3,1,15,18
4,1,15,15
5,1,15,13
6,1,15,16
1,1,16,17
2,1,16,20
3,1,16,18
4,1,16,15
5,1,16,14
6,1,16,14
1,1,17,6
2,1,17,9
3,1,17,9
4,1,17,10
5,1,17,11
6,1,17,14
1,1,18,8
2,1,18,7
3,1,18,11
4,1,18,8
5,1,18,12
6,1,18,12
1,1,19,10
2,1,19,11
3,1,19,15
4,1,19,19
5,1,19,17
6,1,19,16
1,1,20,5
2,1,20,9
3,1,20,8
4,1,20,12
5,1,20,10
6,1,20,12
1,1,21,8
2,1,21,8
3,1,21,7
4,1,21,8
5,1,21,9
6,1,21,8
1,1,22,10
2,1,22,11
3,1,22,15
4,1,22,16
5,1,22,19
6,1,22,19
1,1,23,4
2,1,23,6
3,1,23,9
4,1,23,8
5,1,23,10
6,1,23,7
1,1,24,17
2,1,24,14
3,1,24,17
4,1,24,14
5,1,24,15
6,1,24,14
1,1,25,9
2,1,25,12
3,1,25,12
4,1,25,10
5,1,25,10
6,1,25,10
1,1,26,5
2,1,26,8
3,1,26,12
4,1,26,15
5,1,26,13
6,1,26,14
1,1,27,10
2,1,27,14
3,1,27,18
4,1,27,18
5,1,27,15
6,1,27,18
1,1,28,19
2,1,28,20
3,1,28,20
4,1,28,19
5,1,28,16
6,1,28,20
1,1,29,7
2,1,29,6
3,1,29,3
4,1,29,1
5,1,29,5
6,1,29,8
1,1,30,7
2,1,30,4
3,1,30,6
4,1,30,9
5,1,30,7
6,1,30,7
1,1,31,19
2,1,31,16
3,1,31,16
4,1,31,19
5,1,31,16
6,1,31,19
1,1,32,15
2,1,32,14
3,1,32,15
4,1,32,13
5,1,32,11
6,1,32,13
1,1,33,6
2,1,33,9
3,1,33,10
4,1,33,8
5,1,33,9
6,1,33,13
1,1,34,20
2,1,34,19
3,1,34,20
4,1,34,20
5,1,34,18
6,1,34,15
1,1,35,14
2,1,35,16
3,1,35,20
4,1,35,17
5,1,35,15
6,1,35,12
1,1,36,20
2,1,36,17
3,1,36,17
4,1,36,17
5,1,36,14
6,1,36,16
1,1,37,14
2,1,37,18
3,1,37,16
4,1,37,16
5,1,37,16
6,1,37,20
1,1,38,1
2,1,38,1
3,1,38,5
4,1,38,8
5,1,38,8
6,1,38,5
1,1,39,1
2,1,39,4
3,1,39,8
4,1,39,8
5,1,39,7
6,1,39,10
1,1,40,14
2,1,40,18
3,1,40,17
4,1,40,15
5,1,40,17
6,1,40,16
1,1,41,18
2,1,41,15
3,1,41,12
4,1,41,10
5,1,41,13
6,1,41,11
1,1,42,11
2,1,42,9
3,1,42,9
4,1,42,7
5,1,42,8
6,1,42,7
1,1,43,3
2,1,43,1
3,1,43,1
4,1,43,2
5,1,43,3
6,1,43,6
1,1,44,3
2,1,44,4
3,1,44,1
4,1,44,4
5,1,44,5
6,1,44,2
1,1,45,19
2,1,45,18
3,1,45,15
4,1,45,18
5,1,45,17
6,1,45,20
1,1,46,3
2,1,46,6
3,1,46,10
4,1,46,11
5,1,46,15
6,1,46,18
1,1,47,20
2,1,47,19
3,1,47,16
4,1,47,17
5,1,47,16
6,1,47,17
1,1,48,8
2,1,48,5
3,1,48,3
4,1,48,7
5,1,48,8
6,1,48,5
1,1,49,11
2,1,49,13
3,1,49,13
4,1,49,17
5,1,49,17
6,1,49,18
1,1,50,3
2,1,50,2
3,1,50,0
4,1,50,3
5,1,50,1
6,1,50,3
1,1,51,4
2,1,51,1
3,1,51,0
4,1,51,1
5,1,51,3
6,1,51,2
1,1,52,20
2,1,52,20
3,1,52,18
4,1,52,15
5,1,52,19
6,1,52,16
1,1,53,16
2,1,53,18
3,1,53,16
4,1,53,17
5,1,53,20
6,1,53,17
1,1,54,5
2,1,54,7
3,1,54,5
4,1,54,4
5,1,54,4
6,1,54,3
1,1,55,0
2,1,55,4
3,1,55,4
4,1,55,2
5,1,55,5
6,1,55,6
1,1,56,9
