6,100,5
1,1,2,1
2,1,2,1
3,1,2,0
4,1,2,0
5,1,2,1
6,1,2,1
1,1,3,3
2,1,3,1
3,1,3,1
4,1,3,4
5,1,3,1
6,1,3,0
1,1,4,1
2,1,4,0
3,1,4,0
4,1,4,1
5,1,4,0
6,1,4,2
1,1,5,3
2,1,5,1
3,1,5,2
4,1,5,1
5,1,5,2
6,1,5,0
1,1,6,5
2,1,6,2
3,1,6,4
4,1,6,1
5,1,6,2
6,1,6,1
1,1,7,11
2,1,7,10
3,1,7,7
4,1,7,4
5,1,7,5
6,1,7,2
1,1,8,4
2,1,8,2
3,1,8,0
4,1,8,2
5,1,8,0
6,1,8,3
1,1,9,0
2,1,9,0
3,1,9,2
4,1,9,4
5,1,9,1
6,1,9,3
1,1,10,9
2,1,10,9
3,1,10,9
4,1,10,11
5,1,10,9
6,1,10,7
1,1,11,0
2,1,11,0
3,1,11,3
4,1,11,5
5,1,11,2
6,1,11,2
1,1,12,2
2,1,12,4
3,1,12,3
4,1,12,1
5,1,12,1
6,1,12,0
1,1,13,6
2,1,13,5
3,1,13,3
4,1,13,0
5,1,13,0
6,1,13,1
1,1,14,10
2,1,14,7
3,1,14,9
4,1,14,6
5,1,14,6
6,1,14,8
1,1,15,2
2,1,15,0
3,1,15,2
4,1,15,3
5,1,15,4
6,1,15,6
1,1,16,0
2,1,16,2
3,1,16,1
4,1,16,3
5,1,16,3
6,1,16,2
1,1,17,1
2,1,17,2
3,1,17,3
4,1,17,4
5,1,17,5
6,1,17,7
1,1,18,6
2,1,18,6
3,1,18,5
4,1,18,5
5,1,18,5
6,1,18,4
1,1,19,14
2,1,19,14
3,1,19,13
4,1,19,12
5,1,19,12
6,1,19,13
1,1,20,5
2,1,20,2
3,1,20,2
4,1,20,1
5,1,20,0
6,1,20,1
1,1,21,0
2,1,21,0
3,1,21,0
4,1,21,1
5,1,21,4
6,1,21,2
1,1,22,2
2,1,22,2
3,1,22,2
4,1,22,2
5,1,22,1
6,1,22,3
1,1,23,13
2,1,23,13
3,1,23,11
4,1,23,13
5,1,23,15
6,1,23,12
1,1,24,13
2,1,24,15
3,1,24,17
4,1,24,17
5,1,24,15
6,1,24,15
